client_id,client_version_id,reference_date,transaction_count,transaction_volume,digital_transaction_count,digital_transaction_volume,mobile_app_login_count,credit_card_count,secured_loan_count,unsecured_loan_count,product_count,new_customer_flag,digitally_active_flag,credit_card_flag,loan_flag,digital_loan_flag,monthly_income,monthly_profitability,deposit_flag,insurance_flag
CL00005,CV00005-01,2024-03-31,9,4621.11,4,2012.36,7,0,0,0,0,N,Y,N,N,N,6889.53,5.78,N,N
CL00005,CV00005-01,2024-04-30,3,1611.29,1,759.28,6,0,0,0,0,N,N,N,N,N,6472.24,2.11,N,N
CL00005,CV00005-01,2024-05-31,11,5239.11,4,2060.64,6,1,0,1,3,N,Y,Y,Y,N,6075.37,18.65,Y,N
CL00005,CV00005-01,2024-06-30,6,3776.51,2,1306.50,2,1,0,0,1,N,Y,Y,N,N,6870.51,12.03,N,N
CL00005,CV00005-01,2024-07-31,6,3112.37,3,1468.51,5,0,0,0,0,N,Y,N,N,N,7489.72,11.19,N,N
CL00005,CV00005-01,2024-08-31,11,8944.55,5,3956.24,11,0,0,0,1,N,Y,N,N,N,7019.84,22.79,Y,N
CL00005,CV00005-01,2024-09-30,7,4708.67,3,2260.31,4,1,0,0,3,N,Y,Y,N,N,6898.71,16.41,Y,Y
CL00005,CV00005-01,2024-10-31,9,6063.17,4,2494.05,5,0,0,1,1,N,Y,N,Y,N,6480.83,20.36,N,N
CL00005,CV00005-01,2024-11-30,9,5054.02,5,2819.94,7,1,0,0,1,N,Y,Y,N,N,6333.85,18.39,N,N
CL00005,CV00005-01,2024-12-31,7,3927.12,3,1716.94,7,1,0,0,2,N,Y,Y,N,N,6762.81,18.21,Y,N
CL00006,CV00006-01,2024-01-31,5,1938.24,3,1236.56,8,1,1,0,2,N,Y,Y,Y,Y,2638.61,3.98,N,N
CL00006,CV00006-01,2024-02-29,4,1398.02,2,686.45,8,0,0,1,2,N,Y,N,Y,Y,2739.66,8.13,Y,N
CL00006,CV00006-01,2024-03-31,9,2472.61,5,1207.36,7,0,0,0,0,N,Y,N,N,N,1648.24,2.28,N,N
CL00006,CV00006-01,2024-04-30,4,1656.57,3,1189.38,6,1,0,0,2,N,Y,Y,N,N,2570.05,6.66,Y,N
CL00006,CV00006-01,2024-05-31,3,1028.32,2,639.41,8,1,0,0,1,N,Y,Y,N,N,3791.40,6.87,N,N
CL00006,CV00006-01,2024-06-30,6,1635.10,4,1067.07,6,0,0,0,2,N,Y,N,N,N,3366.13,10.54,Y,Y
CL00006,CV00006-01,2024-07-31,11,3756.59,7,2679.37,11,1,0,0,3,N,Y,Y,N,N,3442.39,14.86,Y,Y
CL00006,CV00006-01,2024-08-31,7,2737.65,3,1424.25,8,0,0,0,0,N,Y,N,N,N,3763.38,2.30,N,N
CL00006,CV00006-01,2024-09-30,8,2695.40,5,1555.51,10,1,0,0,3,N,Y,Y,N,N,1451.57,9.49,Y,Y
CL00006,CV00006-01,2024-10-31,4,1274.61,2,606.50,3,1,0,0,2,N,Y,Y,N,N,2965.42,5.04,N,Y
CL00006,CV00006-01,2024-11-30,11,3174.42,8,2394.20,8,0,0,0,0,N,Y,N,N,N,3408.45,6.99,N,N
CL00006,CV00006-01,2024-12-31,5,2617.10,3,1246.11,7,0,0,0,1,N,Y,N,N,N,5212.94,9.00,Y,N
CL00007,CV00007-01,2024-01-31,1,333.68,0,59.82,4,1,0,0,1,N,N,Y,N,N,4459.81,-6.49,N,N
CL00007,CV00007-01,2024-02-29,10,4221.20,1,619.15,5,0,1,0,1,N,N,N,Y,N,2577.03,10.29,N,N
CL00007,CV00007-01,2024-03-31,5,1827.67,0,138.41,3,0,0,0,0,N,N,N,N,N,2928.40,-4.52,N,N
CL00007,CV00007-01,2024-04-30,6,2520.04,1,640.65,2,0,0,1,2,N,N,N,Y,N,3679.94,4.09,N,Y
CL00007,CV00007-01,2024-05-31,4,1064.81,1,280.27,2,0,0,0,0,N,N,N,N,N,4137.31,-4.36,N,N
CL00007,CV00007-01,2024-06-30,3,840.11,1,151.68,3,1,0,0,3,N,N,Y,N,N,3917.57,6.89,Y,Y
CL00007,CV00007-01,2024-07-31,4,1343.43,1,421.98,6,0,0,0,0,N,N,N,N,N,3916.19,-4.72,N,N
CL00007,CV00007-01,2024-08-31,2,1011.08,0,153.29,2,1,0,0,1,N,N,Y,N,N,5549.27,-2.47,N,N
CL00007,CV00007-01,2024-09-30,7,2496.87,2,744.45,4,0,0,0,0,N,Y,N,N,N,3954.69,7.66,N,N
CL00007,CV00007-01,2024-10-31,2,517.44,0,71.64,2,0,0,0,0,N,N,N,N,N,3877.57,-4.20,N,N
CL00007,CV00007-01,2024-11-30,3,1163.87,0,108.59,6,0,0,0,2,N,N,N,N,N,3180.95,9.24,Y,Y
CL00007,CV00007-01,2024-12-31,9,2507.80,2,716.37,3,1,0,0,3,N,Y,Y,N,N,3472.54,13.41,Y,Y
CL00008,CV00008-01,2024-01-31,4,1969.32,0,0.00,4,1,0,0,1,N,N,Y,N,N,5913.43,2.75,N,N
CL00008,CV00008-01,2024-02-29,6,3490.46,0,0.00,2,0,0,0,0,N,N,N,N,N,6463.73,3.89,N,N
CL00008,CV00008-01,2024-03-31,3,2047.32,0,6.91,0,1,0,0,1,N,N,Y,N,N,4521.08,2.62,N,N
CL00008,CV00008-01,2024-04-30,5,2156.18,0,134.74,2,0,0,0,0,N,N,N,N,N,4613.84,-0.28,N,N
CL00008,CV00008-01,2024-05-31,5,2425.88,1,363.36,1,1,0,1,2,N,N,Y,Y,N,5778.97,6.83,N,N
CL00008,CV00008-01,2024-06-30,0,0.00,0,0.00,4,1,0,0,2,N,N,Y,N,N,5117.97,-0.58,Y,N
CL00008,CV00008-01,2024-07-31,4,1097.68,0,74.11,1,1,0,0,1,N,N,Y,N,N,5523.42,-1.51,N,N
CL00008,CV00008-01,2024-08-31,5,2889.66,1,431.34,0,0,0,0,1,N,N,N,N,N,5714.66,-1.04,Y,N
CL00008,CV00008-01,2024-09-30,9,4834.12,0,0.00,2,0,0,0,2,N,N,N,N,N,4799.00,13.28,Y,Y
CL00008,CV00008-01,2024-10-31,7,2980.60,0,22.41,1,1,0,0,1,N,N,Y,N,N,5837.59,2.56,N,N
CL00008,CV00008-01,2024-11-30,2,988.71,0,162.42,1,1,0,0,2,N,N,Y,N,N,5984.82,3.99,Y,N
CL00008,CV00008-01,2024-12-31,3,2093.73,0,192.75,2,0,0,1,1,N,N,N,Y,N,5644.33,2.67,N,N
CL00009,CV00009-01,2024-01-31,4,1862.38,1,648.54,3,1,0,0,2,N,N,Y,N,N,6189.95,11.91,Y,N
CL00009,CV00009-01,2024-02-29,4,2273.68,2,766.96,3,0,0,0,2,N,Y,N,N,N,3900.30,10.75,Y,Y
CL00009,CV00009-01,2024-03-31,5,2265.85,2,832.51,9,0,0,0,1,N,Y,N,N,N,5473.12,5.21,Y,N
CL00009,CV00009-01,2024-04-30,4,1728.67,2,754.59,4,0,0,0,0,N,Y,N,N,N,3991.52,0.23,N,N
CL00009,CV00009-01,2024-05-31,5,2263.76,2,918.28,3,0,0,0,1,N,Y,N,N,N,5855.20,8.97,Y,N
CL00009,CV00009-01,2024-06-30,6,4230.75,2,1279.15,7,0,0,0,0,N,Y,N,N,N,4904.05,6.17,N,N
CL00009,CV00009-01,2024-07-31,12,4450.08,6,1946.22,5,0,0,0,1,N,Y,N,N,N,3495.76,8.67,Y,N
CL00009,CV00009-01,2024-08-31,7,2725.91,4,1499.16,6,1,0,0,1,N,Y,Y,N,N,6030.19,8.97,N,N
CL00009,CV00009-01,2024-09-30,9,3857.84,4,1607.95,10,1,0,0,1,N,Y,Y,N,N,5326.35,6.26,N,N
CL00009,CV00009-01,2024-10-31,8,3515.42,4,1733.48,6,1,0,0,1,N,Y,Y,N,N,5222.92,9.34,N,N
CL00009,CV00009-01,2024-11-30,7,3327.26,4,1629.22,5,0,0,0,0,N,Y,N,N,N,6596.62,4.40,N,N
CL00009,CV00009-01,2024-12-31,6,2287.27,3,913.61,3,1,0,0,1,N,Y,Y,N,N,3719.97,5.74,N,N
CL00010,CV00010-01,2024-01-31,8,1800.96,4,965.49,9,0,0,0,1,N,Y,N,N,N,4040.15,3.05,Y,N
CL00010,CV00010-01,2024-02-29,9,4486.49,5,2459.45,4,0,0,0,0,N,Y,N,N,N,4173.84,12.35,N,N
CL00010,CV00010-01,2024-03-31,5,2295.75,2,1076.57,7,1,0,0,2,N,Y,Y,N,N,5044.93,6.81,Y,N
CL00010,CV00010-01,2024-04-30,5,1734.92,3,1035.62,5,0,1,0,2,N,Y,N,Y,N,1967.83,4.41,Y,N
CL00010,CV00010-01,2024-05-31,5,1840.88,2,699.91,6,0,0,0,0,N,Y,N,N,N,4096.80,5.09,N,N
CL00010,CV00010-01,2024-06-30,2,789.35,1,348.78,5,1,0,0,1,N,N,Y,N,N,6250.30,1.06,N,N
CL00010,CV00010-02,2024-07-31,7,3063.57,3,1361.09,5,0,0,1,2,N,Y,N,Y,N,2775.41,11.16,Y,N
CL00010,CV00010-02,2024-08-31,7,3119.60,3,1527.62,5,0,0,0,0,N,Y,N,N,N,3351.16,-3.38,N,N
CL00010,CV00010-02,2024-09-30,5,1824.48,3,991.23,4,1,0,0,1,N,Y,Y,N,N,4061.65,7.26,N,N
CL00010,CV00010-02,2024-10-31,4,1671.73,2,745.41,0,1,0,0,2,N,Y,Y,N,N,4358.00,4.54,Y,N
CL00010,CV00010-02,2024-11-30,5,2362.64,2,916.57,10,0,0,0,0,N,Y,N,N,N,5045.89,1.01,N,N
CL00010,CV00010-02,2024-12-31,5,2118.16,1,631.64,3,1,0,0,2,N,N,Y,N,N,4564.33,9.30,N,Y
CL00011,CV00011-01,2024-01-31,4,1496.85,0,84.16,4,1,0,0,1,N,N,Y,N,N,3451.65,3.36,N,N
CL00011,CV00011-01,2024-02-29,6,2509.43,0,212.31,1,0,0,1,1,N,N,N,Y,N,3611.62,0.62,N,N
CL00011,CV00011-01,2024-03-31,6,3134.18,0,202.29,5,0,0,0,1,N,N,N,N,N,2997.24,0.61,Y,N
CL00011,CV00011-01,2024-04-30,3,1262.48,0,0.00,1,0,1,0,1,N,N,N,Y,N,3214.64,-0.70,N,N
CL00011,CV00011-01,2024-05-31,5,1701.23,0,0.00,1,0,1,0,2,N,N,N,Y,N,3576.89,10.26,N,Y
CL00011,CV00011-01,2024-06-30,6,2178.00,1,277.60,3,1,0,0,1,N,N,Y,N,N,4133.92,4.32,N,N
CL00011,CV00011-01,2024-07-31,6,2057.27,0,86.80,4,0,0,0,1,N,N,N,N,N,3852.58,4.72,N,Y
CL00011,CV00011-01,2024-08-31,6,2183.82,0,0.00,2,0,0,0,1,N,N,N,N,N,3738.41,0.20,Y,N
CL00011,CV00011-01,2024-09-30,3,1562.71,0,133.64,1,0,0,0,0,N,N,N,N,N,2894.19,0.97,N,N
CL00011,CV00011-01,2024-10-31,2,584.32,0,66.80,6,0,1,0,2,N,N,N,Y,N,4496.18,9.50,Y,N
CL00011,CV00011-01,2024-11-30,5,1720.01,0,165.76,4,1,0,1,2,N,N,Y,Y,N,3511.33,4.59,N,N
CL00011,CV00011-01,2024-12-31,5,2467.66,0,0.00,2,1,0,1,3,N,N,Y,Y,N,5139.28,10.04,Y,N
CL00012,CV00012-01,2024-01-31,7,3182.48,2,800.50,4,1,0,0,1,N,Y,Y,N,N,4945.03,7.76,N,N
CL00012,CV00012-01,2024-02-29,2,1015.91,1,283.23,5,0,0,0,1,N,N,N,N,N,5623.67,1.94,Y,N
CL00012,CV00012-01,2024-03-31,5,1797.36,1,504.04,4,0,0,0,2,N,N,N,N,N,4585.55,4.97,Y,Y
CL00012,CV00012-01,2024-04-30,3,1355.93,1,486.33,7,1,0,0,1,N,N,Y,N,N,5397.86,1.32,N,N
CL00012,CV00012-01,2024-05-31,4,1645.22,1,616.37,6,0,1,0,2,N,N,N,Y,N,5944.67,8.61,Y,N
CL00012,CV00012-01,2024-06-30,2,723.89,1,177.85,5,0,1,0,3,N,N,N,Y,N,4269.75,7.25,Y,Y
CL00012,CV00012-01,2024-07-31,3,1347.39,1,359.42,2,0,0,1,2,N,N,N,Y,N,5881.87,0.49,Y,N
CL00012,CV00012-01,2024-08-31,8,4785.11,2,1271.86,6,0,0,0,1,N,Y,N,N,N,4026.16,9.73,Y,N
CL00012,CV00012-01,2024-09-30,5,2278.47,2,895.42,6,0,0,0,2,N,Y,N,N,N,5211.46,13.13,Y,Y
CL00012,CV00012-01,2024-10-31,4,1977.09,1,544.11,8,0,0,0,0,N,N,N,N,N,3841.29,-3.80,N,N
CL00012,CV00012-01,2024-11-30,4,1703.82,1,575.50,5,0,0,0,1,N,N,N,N,N,5121.43,-5.78,Y,N
CL00012,CV00012-01,2024-12-31,3,1034.09,1,422.97,6,0,0,0,0,N,N,N,N,N,4900.88,2.35,N,N
CL00013,CV00013-01,2024-01-31,11,4016.97,6,1997.69,9,1,0,0,1,N,Y,Y,N,N,4671.90,8.14,N,N
CL00013,CV00013-01,2024-02-29,10,4270.40,5,2493.52,5,0,0,1,1,N,Y,N,Y,N,2609.82,7.88,N,N
CL00013,CV00013-01,2024-03-31,13,5304.06,6,2460.08,13,1,0,1,2,N,Y,Y,Y,N,2929.97,16.42,N,N
CL00013,CV00013-01,2024-04-30,4,1534.29,2,868.07,2,0,0,0,1,N,Y,N,N,N,2450.39,4.08,N,Y
CL00013,CV00013-01,2024-05-31,7,3458.20,5,2370.96,8,0,0,0,1,N,Y,N,N,N,4352.73,3.91,Y,N
CL00013,CV00013-01,2024-06-30,3,1263.91,2,800.54,5,0,0,0,0,N,Y,N,N,N,2417.77,4.84,N,N
CL00013,CV00013-01,2024-07-31,7,2104.01,4,1269.25,7,1,0,0,1,N,Y,Y,N,N,3831.02,8.26,N,N
CL00013,CV00013-01,2024-08-31,8,3204.30,5,1811.11,5,0,0,0,0,N,Y,N,N,N,3559.45,7.56,N,N
CL00013,CV00013-01,2024-09-30,6,1900.52,3,1012.58,8,0,0,0,0,N,Y,N,N,N,3020.28,2.49,N,N
CL00013,CV00013-01,2024-10-31,6,2749.16,3,1511.55,6,0,0,0,0,N,Y,N,N,N,2891.19,12.32,N,N
CL00013,CV00013-01,2024-11-30,6,2116.56,3,1288.90,4,0,1,0,2,N,Y,N,Y,Y,2833.50,8.99,Y,N
CL00013,CV00013-01,2024-12-31,7,3433.92,4,2253.01,9,0,1,0,3,N,Y,N,Y,Y,3668.85,13.10,Y,Y
CL00014,CV00014-01,2024-01-31,6,1806.05,4,1132.33,5,0,0,0,0,N,Y,N,N,N,2148.23,-0.13,N,N
CL00014,CV00014-01,2024-02-29,9,3148.04,5,1264.62,4,1,0,0,1,N,Y,Y,N,N,2426.86,5.58,N,N
CL00014,CV00014-01,2024-03-31,3,1071.97,2,572.50,4,0,0,0,1,N,Y,N,N,N,1974.44,-3.38,N,Y
CL00014,CV00014-01,2024-04-30,7,1792.04,5,1271.09,4,0,0,0,1,N,Y,N,N,N,1243.72,7.32,Y,N
CL00014,CV00014-01,2024-05-31,6,1841.37,3,1043.86,7,1,0,0,1,N,Y,Y,N,N,1623.73,7.46,N,N
CL00014,CV00014-01,2024-06-30,5,2184.94,3,1277.47,8,1,0,1,2,N,Y,Y,Y,Y,2787.36,11.16,N,N
CL00014,CV00014-01,2024-07-31,6,3639.21,4,2201.93,4,0,0,0,0,N,Y,N,N,N,1200.00,12.28,N,N
CL00014,CV00014-01,2024-08-31,5,1365.59,4,973.90,5,1,0,1,2,N,Y,Y,Y,Y,2976.93,6.71,N,N
CL00014,CV00014-01,2024-09-30,4,1731.75,2,1241.23,5,0,0,0,0,N,Y,N,N,N,3422.90,1.24,N,N
CL00014,CV00014-01,2024-10-31,9,3065.55,6,1811.39,4,1,0,0,1,N,Y,Y,N,N,2978.51,12.94,N,N
CL00014,CV00014-01,2024-11-30,5,1835.15,2,774.59,6,1,0,1,2,N,Y,Y,Y,N,2591.59,5.73,N,N
CL00014,CV00014-01,2024-12-31,9,3155.73,5,1859.68,3,0,0,0,1,N,Y,N,N,N,2354.10,2.33,Y,N
CL00015,CV00015-01,2024-01-31,8,2165.91,6,1217.55,9,0,1,0,2,N,Y,N,Y,Y,3211.09,8.07,Y,N
CL00015,CV00015-01,2024-02-29,9,2938.30,6,2423.88,8,0,0,0,1,N,Y,N,N,N,3739.00,2.64,N,Y
CL00015,CV00015-01,2024-03-31,7,2516.13,5,1677.86,11,0,0,0,1,N,Y,N,N,N,3055.09,10.01,Y,N
CL00015,CV00015-01,2024-04-30,8,3133.64,5,1795.01,7,1,0,0,1,N,Y,Y,N,N,1267.04,8.99,N,N
CL00015,CV00015-01,2024-05-31,8,3070.73,6,2089.46,8,0,0,0,0,N,Y,N,N,N,3577.61,3.78,N,N
CL00015,CV00015-01,2024-06-30,6,1280.38,5,934.14,5,0,0,1,1,N,Y,N,Y,Y,3096.09,5.51,N,N
CL00015,CV00015-01,2024-07-31,6,3283.21,5,2782.86,10,0,1,0,1,N,Y,N,Y,N,3189.70,6.18,N,N
CL00015,CV00015-01,2024-08-31,7,2273.87,5,1377.72,5,0,0,0,0,N,Y,N,N,N,3428.82,3.64,N,N
CL00015,CV00015-01,2024-09-30,7,3014.42,5,2261.91,11,0,0,0,0,N,Y,N,N,N,1406.75,5.58,N,N
CL00015,CV00015-01,2024-10-31,4,1138.99,3,891.81,9,0,0,1,2,N,Y,N,Y,N,3275.53,0.37,N,Y
CL00015,CV00015-01,2024-11-30,4,1432.18,4,1432.18,8,0,0,0,1,N,Y,N,N,N,2757.68,10.31,Y,N
CL00015,CV00015-01,2024-12-31,5,1608.06,4,1446.68,5,1,0,1,2,N,Y,Y,Y,Y,2126.84,10.42,N,N
CL00016,CV00016-01,2024-01-31,11,2970.49,9,2174.52,6,1,0,1,3,N,Y,Y,Y,Y,2542.64,10.99,N,Y
CL00016,CV00016-01,2024-02-29,13,4739.52,13,4739.52,10,0,0,1,1,N,Y,N,Y,Y,1200.00,9.23,N,N
CL00016,CV00016-01,2024-03-31,9,2588.47,9,2588.47,13,0,0,0,0,N,Y,N,N,N,1200.00,4.65,N,N
CL00016,CV00016-01,2024-04-30,5,1155.18,5,942.03,11,0,1,1,3,N,Y,N,Y,Y,1797.01,13.21,Y,N
CL00016,CV00016-01,2024-05-31,5,1560.68,5,1435.96,14,1,0,0,1,N,Y,Y,N,N,1922.99,2.50,N,N
CL00016,CV00016-01,2024-06-30,6,1787.26,5,1608.94,10,0,0,1,1,N,Y,N,Y,N,1314.10,-1.05,N,N
CL00016,CV00016-01,2024-07-31,11,4076.16,10,4076.16,9,0,0,0,1,N,Y,N,N,N,1200.00,12.78,Y,N
CL00016,CV00016-01,2024-08-31,18,4261.47,16,3623.16,16,0,0,0,0,N,Y,N,N,N,1661.10,12.37,N,N
CL00016,CV00016-01,2024-09-30,4,1026.62,4,1024.25,8,1,0,0,2,N,Y,Y,N,N,1200.00,4.19,Y,N
CL00016,CV00016-01,2024-10-31,8,2274.07,8,2217.85,7,1,0,0,1,N,Y,Y,N,N,1948.51,8.64,N,N
CL00016,CV00016-01,2024-11-30,6,2092.23,6,2081.74,11,1,0,0,2,N,Y,Y,N,N,1200.00,4.01,Y,N
CL00016,CV00016-01,2024-12-31,10,2592.02,10,2448.70,8,0,0,0,1,N,Y,N,N,N,3210.68,3.78,N,Y
CL00017,CV00017-01,2024-01-31,2,868.95,1,539.34,6,0,0,0,0,N,N,N,N,N,4222.03,-4.38,N,N
CL00017,CV00017-01,2024-02-29,8,3029.77,5,1970.68,5,0,0,0,1,N,Y,N,N,N,3284.64,1.85,Y,N
CL00017,CV00017-01,2024-03-31,13,3397.21,9,2148.56,12,0,0,0,1,N,Y,N,N,N,3989.14,5.04,Y,N
CL00017,CV00017-01,2024-04-30,9,3264.59,6,2038.54,5,1,0,0,1,N,Y,Y,N,N,5168.56,9.74,N,N
CL00017,CV00017-01,2024-05-31,6,3122.87,4,2096.54,8,0,0,0,0,N,Y,N,N,N,3218.74,3.31,N,N
CL00017,CV00017-01,2024-06-30,4,1412.70,2,785.18,5,0,1,0,2,N,Y,N,Y,Y,4938.55,4.48,N,Y
CL00017,CV00017-01,2024-07-31,4,1321.31,2,708.38,7,1,0,0,1,N,Y,Y,N,N,2915.77,-0.35,N,N
CL00017,CV00017-01,2024-08-31,6,2294.18,3,1273.80,12,0,0,0,0,N,Y,N,N,N,3321.49,-0.89,N,N
CL00017,CV00017-01,2024-09-30,7,2791.83,5,1752.41,8,1,0,0,2,N,Y,Y,N,N,2644.84,6.64,N,Y
CL00017,CV00017-01,2024-10-31,10,3775.25,6,2193.78,9,0,0,0,0,N,Y,N,N,N,3457.33,7.53,N,N
