client_version_id,client_id,gender,age_bucket,marital_status,education_level,county,onboarding_channel,onboarding_method,customer_segment,registration_date,valid_from_date,valid_to_date
CV00021-01,CL00021,F,50-64,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2020-05-23,2024-01-01,9999-12-31
CV00022-01,CL00022,F,35-49,Married,Bachelor,Brasov,Digital,Self-service,Standard,2022-05-10,2024-01-01,9999-12-31
CV00023-01,CL00023,F,35-49,Married,High School,Bucuresti,Digital,Self-service,Standard,2019-11-29,2024-01-01,9999-12-31
CV00024-01,CL00024,M,18-24,Single,Bachelor,Galati,Digital,Self-service,Standard,2023-08-09,2024-01-01,9999-12-31
CV00025-01,CL00025,F,25-34,Single,Master,Bucuresti,Digital,Self-service,Standard,2020-09-11,2024-01-01,9999-12-31
CV00026-01,CL00026,M,18-24,Married,High School,Timis,Digital,Self-service,Standard,2018-09-05,2024-01-01,9999-12-31
CV00027-01,CL00027,M,65+,Married,Bachelor,Sibiu,Branch,Assisted,Standard,2022-10-10,2024-01-01,9999-12-31
CV00028-01,CL00028,F,50-64,Married,Bachelor,Sibiu,Branch,Assisted,Standard,2022-01-12,2024-01-01,9999-12-31
CV00029-01,CL00029,M,65+,Married,Bachelor,Dolj,Digital,Self-service,Standard,2022-03-13,2024-01-01,9999-12-31
CV00030-01,CL00030,F,35-49,Single,Bachelor,Iasi,Digital,Self-service,Premium,2022-06-11,2024-01-01,2024-06-30
CV00030-02,CL00030,F,35-49,Single,Bachelor,Iasi,Digital,Self-service,Standard,2022-06-11,2024-07-01,9999-12-31
CV00031-01,CL00031,M,18-24,Single,High School,Constanta,Digital,Self-service,Standard,2021-10-11,2024-01-01,9999-12-31
CV00032-01,CL00032,F,35-49,Married,Bachelor,Constanta,Digital,Self-service,Premium,2018-07-24,2024-01-01,9999-12-31
CV00033-01,CL00033,M,50-64,Divorced,High School,Prahova,Digital,Self-service,Standard,2023-01-01,2024-01-01,9999-12-31
CV00034-01,CL00034,M,35-49,Single,High School,Constanta,Digital,Self-service,Premium,2022-03-19,2024-01-01,9999-12-31
CV00035-01,CL00035,M,35-49,Married,Master,Cluj,Branch,Assisted,Standard,2018-07-21,2024-01-01,9999-12-31
CV00036-01,CL00036,M,35-49,Single,Doctorate,Dolj,Digital,Self-service,Standard,2019-09-24,2024-01-01,9999-12-31
CV00037-01,CL00037,F,50-64,Married,Doctorate,Dolj,Digital,Self-service,Standard,2019-01-20,2024-01-01,9999-12-31
CV00038-01,CL00038,M,25-34,Single,Bachelor,Cluj,Digital,Self-service,Standard,2021-03-07,2024-01-01,9999-12-31
CV00039-01,CL00039,M,25-34,Single,Post-secondary,Constanta,Digital,Self-service,Standard,2018-07-13,2024-01-01,9999-12-31
CV00040-01,CL00040,M,25-34,Single,Master,Bucuresti,Digital,Self-service,Standard,2021-07-17,2024-01-01,9999-12-31
CV00041-01,CL00041,F,18-24,Single,High School,Bucuresti,Digital,Self-service,Standard,2018-11-15,2024-01-01,9999-12-31
CV00042-01,CL00042,F,25-34,Single,Bachelor,Prahova,Digital,Self-service,Standard,2018-01-14,2024-01-01,9999-12-31
CV00043-01,CL00043,F,35-49,Married,Master,Dolj,Digital,Self-service,Standard,2021-03-29,2024-01-01,9999-12-31
CV00044-01,CL00044,M,50-64,Divorced,High School,Bucuresti,Digital,Self-service,Standard,2023-12-04,2024-01-01,9999-12-31
CV00045-01,CL00045,F,65+,Single,Post-secondary,Sibiu,Branch,Assisted,Standard,2023-03-08,2024-01-01,9999-12-31
CV00046-01,CL00046,M,25-34,Single,Doctorate,Bucuresti,Digital,Self-service,Standard,2019-05-01,2024-01-01,9999-12-31
CV00047-01,CL00047,F,65+,Single,Post-secondary,Prahova,Branch,Assisted,Standard,2023-03-20,2024-01-01,9999-12-31
CV00048-01,CL00048,M,25-34,Married,High School,Timis,Digital,Self-service,Standard,2020-04-20,2024-01-01,2024-06-30
CV00048-02,CL00048,M,25-34,Married,High School,Timis,Digital,Self-service,Premium,2020-04-20,2024-07-01,9999-12-31
CV00049-01,CL00049,M,50-64,Married,High School,Timis,Branch,Assisted,Premium,2021-06-07,2024-01-01,2024-06-30
CV00049-02,CL00049,M,50-64,Married,High School,Timis,Digital,Self-service,Premium,2021-06-07,2024-07-01,9999-12-31
CV00050-01,CL00050,M,25-34,Single,Master,Brasov,Digital,Self-service,Standard,2020-11-09,2024-01-01,9999-12-31
CV00051-01,CL00051,M,50-64,Married,Master,Bucuresti,Digital,Self-service,Standard,2020-11-06,2024-01-01,2024-06-30
CV00051-02,CL00051,M,50-64,Married,Master,Bucuresti,Digital,Self-service,Premium,2020-11-06,2024-07-01,9999-12-31
CV00052-01,CL00052,F,25-34,Married,Master,Iasi,Digital,Self-service,Standard,2020-02-23,2024-01-01,2024-06-30
CV00052-02,CL00052,F,25-34,Married,Master,Iasi,Digital,Self-service,Standard,2020-02-23,2024-07-01,9999-12-31
CV00053-01,CL00053,M,25-34,Single,Bachelor,Bucuresti,Digital,Self-service,Standard,2023-07-10,2024-01-01,9999-12-31
CV00054-01,CL00054,F,35-49,Single,Master,Bucuresti,Digital,Self-service,Premium,2020-08-12,2024-01-01,9999-12-31
CV00055-01,CL00055,M,50-64,Single,Post-secondary,Bucuresti,Digital,Self-service,Premium,2020-05-19,2024-01-01,9999-12-31
CV00056-01,CL00056,M,25-34,Single,Bachelor,Cluj,Branch,Assisted,Premium,2020-08-19,2024-01-01,9999-12-31
CV00057-01,CL00057,F,50-64,Divorced,Post-secondary,Sibiu,Branch,Assisted,Standard,2019-09-20,2024-01-01,9999-12-31
CV00058-01,CL00058,M,65+,Married,High School,Galati,Branch,Assisted,Standard,2019-12-12,2024-01-01,9999-12-31
CV00059-01,CL00059,F,50-64,Single,High School,Cluj,Digital,Self-service,Standard,2020-05-25,2024-01-01,9999-12-31
CV00060-01,CL00060,M,50-64,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2018-02-05,2024-01-01,2024-06-30
CV00060-02,CL00060,M,50-64,Married,Bachelor,Bucuresti,Digital,Self-service,Premium,2018-02-05,2024-07-01,9999-12-31
CV00061-01,CL00061,M,35-49,Married,High School,Bucuresti,Digital,Self-service,Standard,2018-09-15,2024-01-01,9999-12-31
CV00062-01,CL00062,F,65+,Married,Post-secondary,Timis,Branch,Assisted,Standard,2023-03-21,2024-01-01,9999-12-31
CV00063-01,CL00063,M,65+,Married,Bachelor,Bucuresti,Branch,Assisted,Premium,2020-11-09,2024-01-01,9999-12-31
CV00064-01,CL00064,F,65+,Married,Post-secondary,Timis,Branch,Assisted,Standard,2023-02-12,2024-01-01,2024-06-30
CV00064-02,CL00064,F,65+,Married,Post-secondary,Timis,Digital,Self-service,Standard,2023-02-12,2024-07-01,9999-12-31
CV00065-01,CL00065,F,35-49,Married,Post-secondary,Prahova,Branch,Assisted,Standard,2019-12-18,2024-01-01,9999-12-31
CV00066-01,CL00066,M,35-49,Married,High School,Constanta,Branch,Assisted,Standard,2019-04-18,2024-01-01,9999-12-31
CV00067-01,CL00067,M,35-49,Married,High School,Iasi,Digital,Self-service,Premium,2019-07-22,2024-01-01,9999-12-31
CV00068-01,CL00068,M,50-64,Married,Post-secondary,Bucuresti,Branch,Assisted,Standard,2023-02-21,2024-01-01,9999-12-31
CV00069-01,CL00069,M,35-49,Single,High School,Iasi,Digital,Self-service,Standard,2023-12-25,2024-01-01,9999-12-31
CV00070-01,CL00070,M,35-49,Married,High School,Bucuresti,Branch,Assisted,Standard,2021-07-12,2024-01-01,9999-12-31
CV00071-01,CL00071,F,50-64,Single,Bachelor,Constanta,Digital,Self-service,Standard,2021-06-04,2024-01-01,9999-12-31
CV00072-01,CL00072,M,65+,Married,High School,Timis,Branch,Assisted,Premium,2023-03-27,2024-01-01,9999-12-31
CV00073-01,CL00073,F,35-49,Married,Post-secondary,Iasi,Digital,Self-service,Premium,2023-02-14,2024-01-01,9999-12-31
CV00074-01,CL00074,M,50-64,Married,Post-secondary,Prahova,Digital,Self-service,Premium,2020-04-24,2024-01-01,9999-12-31
CV00075-01,CL00075,M,25-34,Single,High School,Brasov,Branch,Assisted,Premium,2022-05-01,2024-01-01,9999-12-31
CV00076-01,CL00076,M,18-24,Single,Bachelor,Dolj,Digital,Self-service,Standard,2018-10-18,2024-01-01,9999-12-31
CV00077-01,CL00077,F,25-34,Single,Master,Cluj,Digital,Self-service,Standard,2018-04-12,2024-01-01,9999-12-31
CV00078-01,CL00078,F,25-34,Divorced,Master,Constanta,Digital,Self-service,Standard,2019-05-18,2024-01-01,9999-12-31
CV00079-01,CL00079,M,50-64,Married,Bachelor,Brasov,Digital,Self-service,Standard,2018-01-06,2024-01-01,9999-12-31
CV00080-01,CL00080,F,25-34,Married,Master,Bucuresti,Digital,Self-service,Standard,2021-02-01,2024-01-01,2024-06-30
CV00080-02,CL00080,F,25-34,Married,Master,Bucuresti,Digital,Self-service,Standard,2021-02-01,2024-07-01,9999-12-31
CV00081-01,CL00081,M,18-24,Single,Post-secondary,Galati,Digital,Self-service,Standard,2023-11-27,2024-01-01,9999-12-31
CV00082-01,CL00082,F,35-49,Single,Bachelor,Galati,Branch,Assisted,Standard,2023-03-14,2024-01-01,9999-12-31
CV00083-01,CL00083,F,50-64,Married,High School,Bucuresti,Branch,Assisted,Standard,2021-05-08,2024-01-01,9999-12-31
CV00084-01,CL00084,M,25-34,Single,High School,Iasi,Branch,Assisted,Standard,2021-12-07,2024-01-01,2024-06-30
CV00084-02,CL00084,M,25-34,Single,High School,Iasi,Digital,Self-service,Standard,2021-12-07,2024-07-01,9999-12-31
CV00085-01,CL00085,M,50-64,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2019-12-08,2024-01-01,9999-12-31
CV00086-01,CL00086,F,25-34,Single,Bachelor,Dolj,Branch,Assisted,Premium,2018-05-23,2024-01-01,2024-06-30
CV00086-02,CL00086,F,25-34,Single,Bachelor,Dolj,Digital,Self-service,Premium,2018-05-23,2024-07-01,9999-12-31
CV00087-01,CL00087,F,18-24,Single,Bachelor,Timis,Branch,Assisted,Standard,2020-04-30,2024-01-01,9999-12-31
CV00088-01,CL00088,M,18-24,Single,High School,Galati,Digital,Self-service,Standard,2018-09-19,2024-01-01,2024-06-30
CV00088-02,CL00088,M,18-24,Single,High School,Galati,Digital,Self-service,Standard,2018-09-19,2024-07-01,9999-12-31
CV00089-01,CL00089,M,35-49,Married,Post-secondary,Iasi,Digital,Self-service,Standard,2018-01-18,2024-01-01,9999-12-31
CV00090-01,CL00090,M,50-64,Single,High School,Cluj,Digital,Self-service,Premium,2021-07-09,2024-01-01,9999-12-31
CV00091-01,CL00091,M,35-49,Married,Bachelor,Constanta,Digital,Self-service,Standard,2021-07-25,2024-01-01,9999-12-31
CV00092-01,CL00092,F,50-64,Divorced,High School,Brasov,Branch,Assisted,Standard,2019-09-17,2024-01-01,9999-12-31
CV00093-01,CL00093,M,18-24,Single,High School,Brasov,Branch,Assisted,Standard,2023-06-11,2024-01-01,9999-12-31
CV00094-01,CL00094,F,50-64,Married,Post-secondary,Iasi,Digital,Self-service,Premium,2020-05-14,2024-01-01,9999-12-31
CV00095-01,CL00095,M,65+,Married,Post-secondary,Timis,Branch,Assisted,Standard,2022-05-14,2024-01-01,9999-12-31
CV00096-01,CL00096,M,35-49,Married,Bachelor,Bucuresti,Branch,Assisted,Standard,2022-05-15,2024-01-01,9999-12-31
CV00097-01,CL00097,M,35-49,Divorced,Bachelor,Bucuresti,Digital,Self-service,Standard,2020-06-19,2024-01-01,9999-12-31
CV00098-01,CL00098,M,65+,Single,High School,Sibiu,Branch,Assisted,Premium,2018-01-31,2024-01-01,2024-06-30
CV00098-02,CL00098,M,65+,Single,High School,Sibiu,Digital,Self-service,Premium,2018-01-31,2024-07-01,9999-12-31
CV00099-01,CL00099,F,35-49,Divorced,Bachelor,Prahova,Branch,Assisted,Standard,2020-08-15,2024-01-01,9999-12-31
CV00100-01,CL00100,M,18-24,Single,Post-secondary,Bucuresti,Digital,Self-service,Standard,2021-11-30,2024-01-01,9999-12-31
CV00101-01,CL00101,M,50-64,Married,Post-secondary,Brasov,Digital,Self-service,Standard,2018-06-03,2024-01-01,9999-12-31
CV00102-01,CL00102,F,25-34,Single,Bachelor,Timis,Digital,Self-service,Standard,2019-09-29,2024-01-01,9999-12-31
CV00103-01,CL00103,M,35-49,Married,Post-secondary,Galati,Digital,Self-service,Standard,2020-01-27,2024-01-01,2024-06-30
CV00103-02,CL00103,M,35-49,Married,Post-secondary,Galati,Digital,Self-service,Standard,2020-01-27,2024-07-01,9999-12-31
CV00104-01,CL00104,F,25-34,Single,Bachelor,Dolj,Digital,Self-service,Premium,2020-08-11,2024-01-01,9999-12-31
CV00105-01,CL00105,M,65+,Married,High School,Cluj,Branch,Assisted,Standard,2018-09-24,2024-01-01,9999-12-31
CV00106-01,CL00106,F,50-64,Married,Bachelor,Timis,Digital,Self-service,Standard,2022-07-21,2024-01-01,9999-12-31
CV00107-01,CL00107,M,18-24,Single,Doctorate,Bucuresti,Digital,Self-service,Premium,2020-11-25,2024-01-01,9999-12-31
CV00108-01,CL00108,F,35-49,Married,Master,Prahova,Digital,Self-service,Standard,2020-01-20,2024-01-01,9999-12-31
CV00109-01,CL00109,M,25-34,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2021-05-10,2024-01-01,2024-06-30
CV00109-02,CL00109,M,25-34,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2021-05-10,2024-07-01,9999-12-31
CV00110-01,CL00110,F,18-24,Single,Bachelor,Timis,Digital,Self-service,Standard,2019-07-07,2024-01-01,2024-06-30
CV00110-02,CL00110,F,18-24,Single,Bachelor,Timis,Digital,Self-service,Standard,2019-07-07,2024-07-01,9999-12-31
CV00111-01,CL00111,F,18-24,Single,Bachelor,Galati,Branch,Assisted,Premium,2018-08-03,2024-01-01,9999-12-31
CV00112-01,CL00112,M,25-34,Single,High School,Brasov,Digital,Self-service,Standard,2023-08-08,2024-01-01,9999-12-31
CV00113-01,CL00113,M,35-49,Single,High School,Dolj,Digital,Self-service,Premium,2020-10-28,2024-01-01,9999-12-31
CV00114-01,CL00114,M,35-49,Married,Doctorate,Dolj,Digital,Self-service,Standard,2019-02-13,2024-01-01,9999-12-31
CV00115-01,CL00115,M,50-64,Married,High School,Sibiu,Digital,Self-service,Standard,2018-05-05,2024-01-01,9999-12-31
CV00116-01,CL00116,F,25-34,Married,Bachelor,Prahova,Digital,Self-service,Standard,2020-10-22,2024-01-01,9999-12-31
CV00117-01,CL00117,F,65+,Single,High School,Cluj,Branch,Assisted,Premium,2018-03-03,2024-01-01,2024-06-30
CV00117-02,CL00117,F,65+,Single,High School,Cluj,Digital,Self-service,Premium,2018-03-03,2024-07-01,9999-12-31
CV00118-01,CL00118,F,35-49,Single,Master,Dolj,Digital,Self-service,Standard,2022-09-26,2024-01-01,9999-12-31
CV00119-01,CL00119,F,25-34,Single,High School,Sibiu,Digital,Self-service,Standard,2022-09-09,2024-01-01,9999-12-31
CV00120-01,CL00120,F,18-24,Single,Bachelor,Sibiu,Branch,Assisted,Standard,2021-01-14,2024-01-01,9999-12-31
CV00121-01,CL00121,F,50-64,Divorced,Bachelor,Bucuresti,Branch,Assisted,Premium,2019-10-21,2024-01-01,2024-06-30
CV00121-02,CL00121,F,50-64,Divorced,Bachelor,Bucuresti,Digital,Self-service,Premium,2019-10-21,2024-07-01,9999-12-31
CV00122-01,CL00122,M,50-64,Married,Post-secondary,Prahova,Branch,Assisted,Standard,2021-08-30,2024-01-01,9999-12-31
CV00123-01,CL00123,M,35-49,Married,Doctorate,Timis,Branch,Assisted,Premium,2021-03-30,2024-01-01,9999-12-31
CV00124-01,CL00124,M,35-49,Married,High School,Prahova,Branch,Assisted,Standard,2020-04-21,2024-01-01,9999-12-31
CV00125-01,CL00125,M,35-49,Married,High School,Iasi,Branch,Assisted,Standard,2023-04-29,2024-01-01,2024-06-30
CV00125-02,CL00125,M,35-49,Married,High School,Iasi,Branch,Assisted,Premium,2023-04-29,2024-07-01,9999-12-31
CV00126-01,CL00126,F,18-24,Single,High School,Bucuresti,Digital,Self-service,Standard,2018-04-12,2024-01-01,9999-12-31
CV00127-01,CL00127,F,18-24,Single,Bachelor,Bucuresti,Digital,Self-service,Standard,2019-06-20,2024-01-01,9999-12-31
CV00128-01,CL00128,F,35-49,Married,Doctorate,Bucuresti,Branch,Assisted,Standard,2018-05-12,2024-01-01,9999-12-31
CV00129-01,CL00129,F,65+,Divorced,High School,Galati,Branch,Assisted,Standard,2020-04-13,2024-01-01,9999-12-31
CV00130-01,CL00130,F,50-64,Married,Post-secondary,Dolj,Branch,Assisted,Standard,2020-02-12,2024-01-01,2024-06-30
CV00130-02,CL00130,F,50-64,Married,Post-secondary,Dolj,Branch,Assisted,Premium,2020-02-12,2024-07-01,9999-12-31
CV00131-01,CL00131,F,35-49,Married,High School,Bucuresti,Digital,Self-service,Standard,2018-05-26,2024-01-01,9999-12-31
CV00132-01,CL00132,F,65+,Single,Bachelor,Bucuresti,Branch,Assisted,Standard,2022-01-03,2024-01-01,9999-12-31
CV00133-01,CL00133,F,65+,Married,Bachelor,Prahova,Digital,Self-service,Standard,2021-11-17,2024-01-01,9999-12-31
CV00134-01,CL00134,F,35-49,Married,High School,Bucuresti,Digital,Self-service,Standard,2023-09-24,2024-01-01,9999-12-31
CV00135-01,CL00135,M,35-49,Single,High School,Sibiu,Digital,Self-service,Standard,2020-10-09,2024-01-01,9999-12-31
CV00136-01,CL00136,M,50-64,Single,Bachelor,Sibiu,Branch,Assisted,Standard,2019-11-12,2024-01-01,9999-12-31
CV00137-01,CL00137,M,25-34,Married,High School,Prahova,Digital,Self-service,Premium,2022-05-21,2024-01-01,9999-12-31
CV00138-01,CL00138,F,25-34,Single,Post-secondary,Bucuresti,Branch,Assisted,Standard,2018-03-02,2024-01-01,9999-12-31
CV00139-01,CL00139,F,35-49,Married,High School,Constanta,Branch,Assisted,Premium,2018-07-21,2024-01-01,2024-06-30
CV00139-02,CL00139,F,35-49,Married,High School,Constanta,Digital,Self-service,Premium,2018-07-21,2024-07-01,9999-12-31
CV00140-01,CL00140,M,35-49,Married,Bachelor,Prahova,Branch,Assisted,Premium,2021-05-30,2024-01-01,9999-12-31
CV00141-01,CL00141,F,25-34,Single,High School,Sibiu,Digital,Self-service,Standard,2021-07-03,2024-01-01,9999-12-31
CV00142-01,CL00142,M,25-34,Married,Master,Prahova,Digital,Self-service,Standard,2019-04-29,2024-01-01,9999-12-31
CV00143-01,CL00143,F,35-49,Single,Master,Timis,Digital,Self-service,Premium,2020-09-10,2024-01-01,9999-12-31
CV00144-01,CL00144,F,35-49,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2020-08-04,2024-01-01,9999-12-31
CV00145-01,CL00145,F,50-64,Divorced,High School,Bucuresti,Branch,Assisted,Standard,2022-03-27,2024-01-01,9999-12-31
CV00146-01,CL00146,F,50-64,Married,Bachelor,Cluj,Branch,Assisted,Standard,2020-12-24,2024-01-01,9999-12-31
CV00147-01,CL00147,M,25-34,Married,Master,Bucuresti,Digital,Self-service,Premium,2020-10-09,2024-01-01,2024-06-30
CV00147-02,CL00147,M,25-34,Married,Master,Bucuresti,Digital,Self-service,Standard,2020-10-09,2024-07-01,9999-12-31
CV00148-01,CL00148,F,35-49,Married,High School,Iasi,Digital,Self-service,Standard,2022-02-19,2024-01-01,9999-12-31
CV00149-01,CL00149,M,25-34,Divorced,Master,Timis,Digital,Self-service,Standard,2019-01-16,2024-01-01,9999-12-31
CV00150-01,CL00150,M,25-34,Married,Post-secondary,Brasov,Digital,Self-service,Standard,2018-01-24,2024-01-01,9999-12-31
CV00151-01,CL00151,F,50-64,Married,Bachelor,Bucuresti,Digital,Self-service,Standard,2023-03-25,2024-01-01,9999-12-31
CV00152-01,CL00152,M,35-49,Married,Bachelor,Sibiu,Branch,Assisted,Standard,2018-06-23,2024-01-01,9999-12-31
CV00153-01,CL00153,F,50-64,Married,Bachelor,Sibiu,Branch,Assisted,Standard,2020-06-02,2024-01-01,9999-12-31
CV00154-01,CL00154,M,25-34,Married,Master,Prahova,Branch,Assisted,Standard,2018-08-16,2024-01-01,2024-06-30
CV00154-02,CL00154,M,25-34,Married,Master,Prahova,Branch,Assisted,Premium,2018-08-16,2024-07-01,9999-12-31
CV00155-01,CL00155,F,50-64,Married,Bachelor,Cluj,Digital,Self-service,Standard,2023-12-04,2024-01-01,9999-12-31
CV00156-01,CL00156,M,35-49,Single,Bachelor,Bucuresti,Digital,Self-service,Standard,2023-06-08,2024-01-01,9999-12-31
CV00157-01,CL00157,M,50-64,Married,Bachelor,Sibiu,Digital,Self-service,Standard,2020-07-10,2024-01-01,9999-12-31
CV00158-01,CL00158,F,50-64,Married,High School,Bucuresti,Branch,Assisted,Standard,2018-07-31,2024-01-01,9999-12-31
CV00159-01,CL00159,F,25-34,Single,Master,Dolj,Digital,Self-service,Standard,2023-09-19,2024-01-01,9999-12-31
CV00160-01,CL00160,F,18-24,Single,Bachelor,Brasov,Digital,Self-service,Standard,2020-10-24,2024-01-01,9999-12-31
CV00161-01,CL00161,F,18-24,Single,Post-secondary,Prahova,Digital,Self-service,Standard,2020-06-22,2024-01-01,2024-06-30
CV00161-02,CL00161,F,18-24,Single,Post-secondary,Prahova,Digital,Self-service,Premium,2020-06-22,2024-07-01,9999-12-31
CV00162-01,CL00162,M,25-34,Single,Bachelor,Sibiu,Digital,Self-service,Standard,2023-07-30,2024-01-01,9999-12-31
CV00163-01,CL00163,F,35-49,Married,Post-secondary,Galati,Digital,Self-service,Standard,2020-08-17,2024-01-01,9999-12-31
CV00164-01,CL00164,M,25-34,Married,High School,Cluj,Digital,Self-service,Standard,2020-10-27,2024-01-01,9999-12-31
CV00165-01,CL00165,M,50-64,Divorced,Bachelor,Iasi,Branch,Assisted,Standard,2018-11-21,2024-01-01,2024-06-30
CV00165-02,CL00165,M,50-64,Divorced,Bachelor,Iasi,Branch,Assisted,Premium,2018-11-21,2024-07-01,9999-12-31
CV00166-01,CL00166,M,25-34,Married,Post-secondary,Sibiu,Digital,Self-service,Standard,2020-12-27,2024-01-01,9999-12-31
CV00167-01,CL00167,M,25-34,Single,Post-secondary,Prahova,Branch,Assisted,Premium,2019-09-13,2024-01-01,9999-12-31
CV00168-01,CL00168,M,65+,Divorced,High School,Iasi,Branch,Assisted,Standard,2020-10-07,2024-01-01,2024-06-30
CV00168-02,CL00168,M,65+,Divorced,High School,Iasi,Digital,Self-service,Standard,2020-10-07,2024-07-01,9999-12-31
CV00169-01,CL00169,M,25-34,Single,High School,Prahova,Digital,Self-service,Premium,2023-06-13,2024-01-01,9999-12-31
CV00170-01,CL00170,M,65+,Single,Doctorate,Prahova,Branch,Assisted,Standard,2021-04-25,2024-01-01,9999-12-31
CV00171-01,CL00171,M,35-49,Single,Master,Bucuresti,Digital,Self-service,Standard,2019-02-11,2024-01-01,9999-12-31
CV00172-01,CL00172,F,50-64,Divorced,High School,Sibiu,Digital,Self-service,Standard,2022-05-14,2024-01-01,9999-12-31
CV00173-01,CL00173,F,25-34,Single,Master,Bucuresti,Digital,Self-service,Standard,2019-09-04,2024-01-01,9999-12-31
CV00174-01,CL00174,F,65+,Married,Doctorate,Bucuresti,Branch,Assisted,Standard,2023-11-16,2024-01-01,2024-06-30
CV00174-02,CL00174,F,65+,Married,Doctorate,Bucuresti,Branch,Assisted,Premium,2023-11-16,2024-07-01,9999-12-31
CV00175-01,CL00175,M,35-49,Married,Post-secondary,Bucuresti,Branch,Assisted,Standard,2021-08-12,2024-01-01,9999-12-31
CV00176-01,CL00176,M,25-34,Single,Post-secondary,Iasi,Digital,Self-service,Standard,2022-09-01,2024-01-01,9999-12-31
CV00177-01,CL00177,M,25-34,Married,Bachelor,Timis,Branch,Assisted,Standard,2023-01-05,2024-01-01,2024-06-30
CV00177-02,CL00177,M,25-34,Married,Bachelor,Timis,Branch,Assisted,Premium,2023-01-05,2024-07-01,9999-12-31
CV00178-01,CL00178,M,35-49,Single,Bachelor,Prahova,Branch,Assisted,Premium,2020-04-24,2024-01-01,9999-12-31
CV00179-01,CL00179,M,35-49,Married,Master,Iasi,Branch,Assisted,Standard,2018-05-06,2024-01-01,9999-12-31
CV00180-01,CL00180,F,50-64,Divorced,Bachelor,Brasov,Branch,Assisted,Premium,2022-10-23,2024-01-01,9999-12-31
CV00181-01,CL00181,M,50-64,Married,Post-secondary,Timis,Digital,Self-service,Premium,2023-02-18,2024-01-01,9999-12-31
CV00182-01,CL00182,F,25-34,Married,Post-secondary,Bucuresti,Digital,Self-service,Standard,2023-03-13,2024-01-01,9999-12-31
CV00183-01,CL00183,F,35-49,Single,Bachelor,Timis,Digital,Self-service,Standard,2019-05-29,2024-01-01,9999-12-31
